ICAO,Name,Country,Latitude,Longitude
K11R,Brenham Municipal Airport,United States,30.21899986,-96.3742981
K3R9,Lakeway Airpark,United States,30.35750008,-97.99449921
K2F0,Iraan Municipal Airport,United States,30.90570068,-101.8919983
K1T7,Kestrel Airpark,United States,29.81270027,-98.4253006
CYEL,Elliot Lake Municipal Airport,Canada,46.35139847,-82.56140137
KUKF,Wilkes County Airport,United States,36.22280121,-81.09829712
KJZI,Charleston Executive Airport,United States,32.70090103,-80.00289917
KDAN,Danville Regional Airport,United States,36.57289886,-79.33609772
K0V4,Brookneal/Campbell County Airport,United States,37.14170074,-79.0164032
UIKE,Yerbogachen Airport,Russia,61.27500153,108.0299988
KCQW,Cheraw Municipal Airport/Lynch Bellinger Field,United States,34.71289825,-79.95700073
KCHN,Wauchula Municipal Airport,United States,27.51490021,-81.88050079
YLIL,Lilydale Airport,Australia,-37.69169998,145.3670044
GMMD,Beni Mellal Airport,Morocco,32.401895,-6.315905
LTCV,Şırnak Şerafettin Elçi Airport,Turkey,37.3647,42.0582
UENS,Suntar Airport,Russia,62.18500137,117.6350021
GQPZ,Tazadit Airport,Mauritania,22.75639915,-12.48359966
DNAS,Asaba International Airport,Nigeria,6.204167,6.665278
DNAI,Akwa Ibom International Airport,Nigeria,4.8725,8.093
FLKS,Kasama Airport,Zambia,-10.2166996,31.13330078
HTMB,Mbeya Airport,Tanzania,-8.919444,33.463889
HTMP,Mpanda Airport,Tanzania,-6.355374,31.084116
HTSO,Songea Airport,Tanzania,-10.68299961,35.58300018
HTMG,Morogoro Airport,Tanzania,-6.79722023,37.65309906
ZSJH,Jiuhuashan Airport,China,30.7403,117.6856
ZYAS,Anshan Air Base,China,41.105301,122.853996
ZYDQ,Saertu Airport,China,46.74638889,125.1405556
ZUZY,Zunyi Xinzhou Airport,China,27.5895,107.0007
KHYW,Conway Horry County Airport,United States,33.82849884,-79.12220001
ZYLD,Lindu Airport,China,47.75205556,129.019125
ZUAS,Anshun Huangguoshu Airport,China,26.26055556,105.8733333
GASK,Sikasso Airport,Mali,11.33300018,-5.699999809
YBWW,Toowoomba Wellcamp Airport,Australia,-27.558332,151.793335
ZYTN,Tonghua Sanyuanpu Airport,China,42.25388889,125.7033333
ZSSZ,Suzhou Guangfu Airport,China,31.2631,120.401001
EGCB,City Airport Manchester,United Kingdom,53.47169876,-2.389719963
EGCV,Sleap Airport,United Kingdom,52.83390045,-2.771670103
EGBM,Tatenhill Airfield,United Kingdom,52.81470108,-1.761109948
EGNU,Full Sutton Airfield,United Kingdom,53.980598,-0.864722
EGCJ,Sherburn-In-Elmet Airfield,United Kingdom,53.788458,-1.216877
WAOM,Beringin Airport,Indonesia,-0.940325022,114.8938751
WAJM,Mulia Airport,Indonesia,-3.7018,137.957
WASB,Stenkol Airport,Indonesia,-2.1033,133.5164
WASW,Wasior Airport,Indonesia,-2.721,134.5061
WIMN,Silangit Airport,Indonesia,2.25973,98.991898
WITG,Lasikin Airport,Indonesia,2.410279989,96.32559967
WITC,Seunagan Airport,Indonesia,4.25,96.21700287
WAWB,Betoambari Airport,Indonesia,-5.486879826,122.5690002
WAMK,Kao Airport,Indonesia,1.185279965,127.8960037
WAMN,Melangguane Airport,Indonesia,4.00694,126.672997
WRLA,Sanggata/Sangkimah Airport,Indonesia,0.3847,117.543
WIPI,Muara Bungo Airport,Indonesia,-1.1278,102.135
WAWH,Selayar/Aroepala Airport,Indonesia,-6.1751,120.4362
WABL,Illaga Airport,Indonesia,-3.97648,137.6225
WAJO,Oksibil Airport,Indonesia,-4.9071,140.6277
WABN,Kokonau Airport,Indonesia,-4.71075,136.43515
YCMT,Clermont Airport,Australia,-22.7730999,147.6210022
YWBL,Warrnambool Airport,Australia,-38.29529953,142.4470062
YRMD,Richmond Airport,Australia,-20.70190048,143.1150055
YCIN,RAAF Base Curtin,Australia,-17.58139992,123.8280029
WIMM,Kualanamu International Airport,Indonesia,3.642222,98.885278
KAMN,Gratiot Community Airport,Canada,43.32210159,-84.68800354
KHBI,Asheboro Regional Airport,United States,35.65449905,-79.8946991
RKTP,Seosan Air Base,South Korea,36.703999,126.486
KACZ,Henderson Field,United States,34.71789932,-78.00360107
KEMV,Emporia Greensville Regional Airport,United States,36.68690109,-77.48280334
KEMT,San Gabriel Valley Airport,United States,34.086102,-118.035004
OAFR,Farah Airport,Afghanistan,32.36700058,62.18299866
VEPG,Pasighat Airport,India,28.06609917,95.33560181
KI16,Kee Field,United States,37.60039902,-81.55930328
UKCK,Kramatorsk Airport,Ukraine,48.70560074,37.62889862
ENKA,Kautokeino Air Base,Norway,69.04029846,23.0340004
LFQO,Lille/Marcq-en-Baroeul Airport,France,50.68719864,3.075560093
GUKR,Kawass Airport,Guinea,10.65100002,-14.53359985
KSSF,Stinson Municipal Airport,United States,29.33699989,-98.47109985
KJSV,Sallisaw Municipal Airport,United States,35.4382019,-94.80280304
KJAS,Jasper County Airport-Bell Field,United States,30.88570023,-94.03489685
K87K,El Dorado Springs Memorial Airport,United States,37.8567009,-93.99909973
KMRF,Marfa Municipal Airport,United States,30.371099,-104.017997
KE38,Alpine Casparis Municipal Airport,United States,30.38419914,-103.6839981
GGBU,Bubaque Airport,Guinea-Bissau,11.29735565,-15.83807945
MMCT,Chichen Itza International Airport,Mexico,20.6413002,-88.44619751
YBUN,Bunbury Airport,Australia,-33.37829971,115.677002
KCCB,Cable Airport,United States,34.11159897,-117.6880035
KIOB,Mount Sterling Montgomery County Airport,United States,38.05810165,-83.979599
KEKM,Elkhart Municipal Airport,United States,41.7193985,-86.00319672
KC03,Nappanee Municipal Airport,United States,41.44620132,-85.93479919
KCUB,Jim Hamilton L.B. Owens Airport,United States,33.97050095,-80.99520111
KGMJ,Grove Municipal Airport,United States,36.60680008,-94.73860168
KMPR,Mc Pherson Airport,United States,38.35240173,-97.69129944
KGYH,Donaldson Field Airport,United States,34.758301,-82.376404
KPXE,Perry Houston County Airport,United States,32.51060104,-83.76730347
KHVS,Hartsville Regional Airport,United States,34.40309906,-80.11920166
KIGX,Horace Williams Airport,United States,35.935001,-79.065902
MMSC,San Cristobal de las Casas Airport,Mexico,16.69029999,-92.53009796
CDU9,Dunnville Airport,Canada,42.87220001,-79.59580231
KSUT,Brunswick County Airport,United States,33.9292984,-78.07499695
